publication_id,title,publication_year,publication_type,venue,doi,publication_url,openalex_work_id,cited_by_count,is_open_access,oa_status,source_name,abstract,abstract_len,venue_name,venue_type,language,topic_1,topic_1_score,topic_2,topic_3,subfield,field,domain,topics_all,keywords,concepts,author_institutions,institution_countries,n_authors,referenced_works_count,oa_url,has_rvce_author,is_recent,attribution_confidence
W4403124150,"A Comprehensive Analysis of Social Engineering Attacks: From Phishing to Prevention - Tools, Techniques and Strategies",2024,conference-paper,,10.1109/icoici62503.2024.10696444,https://doi.org/10.1109/icoici62503.2024.10696444,https://openalex.org/W4403124150,5,False,closed,OpenAlex,"As the digitalization has accelerated, Social Engineering Attacks have emerged as a prevalent threat in contemporary cybersecurity landscapes. This paper provides a comprehensive exploration of Social Engineering Attacks, encompassing their phases, types, and associated tools for simulation and defense across Windows and Linux platforms. Furthermore, it analyzes the role of Artificial Intelligence in both detecting and combating Social Engineering Attacks, highlighting its applications and implications. Additionally, the paper addresses design and implementation challenges inherent in combating such attacks and discusses crucial precautions that users must undertake to safeguard themselves against these evolving threats.",730,,,en,Advanced Malware Detection Techniques,0.9902,Network Security and Intrusion Detection,Spam and Phishing Detection,Signal Processing,Computer Science,Physical Sciences,Advanced Malware Detection Techniques; Network Security and Intrusion Detection; Spam and Phishing Detection,Phishing; Social engineering (security); Computer science; Computer security; Data science; Internet privacy; World Wide Web; The Internet,Phishing; Social engineering (security); Computer science; Computer security; Data science; Internet privacy; World Wide Web,,,6,18,,False,True,medium
W4403060511,A Comprehensive Vulnerability Tools Analysis for Security and Control in IT Environment and Organizations,2024,conference-paper,,10.1109/icesc60852.2024.10689860,https://doi.org/10.1109/icesc60852.2024.10689860,https://openalex.org/W4403060511,3,False,closed,OpenAlex,"This research study analyzes the potential of integrating OpenVAS, Wireshark, Nmap, and Metasploit for comprehensive vulnerability analysis and assessment in IT environment and various public and private organizations. Open VAS serves as a robust vulnerability scanning platform, while Wireshark monitors network traffic for potential threats. Nmap identifies open ports and vulnerabilities, and Metasploit facilitates ethical penetration testing. Together, these tools empower organizations to proactively pinpoint and address security weaknesses, strengthening defense against cyber threats. The paper advocates for consistent deployment within a unified vulnerability management strategy, contributing to a proactive and effective approach in safeguarding against cybersecurity challenges.",792,,,en,Information and Cyber Security,0.8272,,,Information Systems,Computer Science,Physical Sciences,Information and Cyber Security,Vulnerability assessment; Vulnerability (computing); Computer science; Computer security; Information security; Control (management); Risk analysis (engineering); Knowledge management; Business,Vulnerability assessment; Vulnerability (computing); Computer science; Computer security; Information security; Control (management); Risk analysis (engineering); Knowledge management,R.V. College of Engineering,,6,7,,True,True,high
W4400124355,An Extensive Study of Decentralized Storage Networks Driven by Blockchain,2024,book-chapter,Soft Computing Research Society eBooks,10.56155/978-81-955020-7-3-40,http://dx.doi.org/10.56155/978-81-955020-7-3-40,https://openalex.org/W4400124355,0,True,bronze,OpenAlex,"The concept of blockchains, a novel method for building distributed networks, was first introduced in 2008. Allowing users to send their files safely over a decentralized network with end-to-end encryption eliminates the risk of data loss associated with centralized data control. A security, integrity, and privacy flaw needs to be fixed even though numerous studies in this particular field have focused mostly on storage capacity and efficiency. This paper first provides an overview of blockchain-based storage systems and explain show they operate. It then compares these systems to cloud-based storage networks and surveys the different decentralized storage networks that are currently on the market, including SIA, File coin, and Storj. The benefits and drawbacks of blockchain-based storage are then covered. In conclusion, we look at the security issues with decentralized storage networks and consider future research directions and possible fixes.",959,Soft Computing Research Society eBooks,ebook platform,en,Blockchain Technology Applications and Security,0.9994,Caching and Content Delivery,Cloud Data Security Solutions,Information Systems,Computer Science,Physical Sciences,Blockchain Technology Applications and Security; Caching and Content Delivery; Cloud Data Security Solutions,Blockchain; Computer science; Distributed data store; Computer data storage; Cloud storage; Computer security; Encryption; Computer network; Distributed computing; Operating system,Blockchain; Computer science; Distributed data store; Computer data storage; Cloud storage; Computer security; Encryption; Computer network; Distributed computing,Institute of Electronics; Rashtreeya Sikshana Samithi Trust,BG; IN,3,0,https://www.publications.scrs.in/uploads/final_menuscript/d5bf28178cde441c4039ca1bcc5d0fc6.pdf,False,True,medium
W4402674134,Blockchain-Based Scalability Solutions for IoT: A Decentralized Design to Enhance Performance and Security,2024,conference-paper,,10.1109/conecct62155.2024.10677307,http://dx.doi.org/10.1109/conecct62155.2024.10677307,https://openalex.org/W4402674134,0,False,closed,OpenAlex,"The Internet-of-Things facilitates the interlinking of an extensive number of devices, each capable of executing independent functions and acquiring diverse forms of information. These entities, in conjunction with the copious quantities of data they generate, necessitate scalable, proficient and safe-guarded management. Centralized solutions are not desired due to security concerns and scalability issue. Alternative to the centralized system, Blockchain – a decentralized systems that is proven to be platform to support both integrity and security is a choice. But, as the IoT devices are resource constrained devices, deploying a blockchain for the data management is a challenging task. In this manuscript, we put forth a multi-layer blockchain framework that accomplishes the goal of achieving scalability and access control in Internet of Things (IoT), gadgets including data. This framework is comprised of numerous permissioned blockchains that come together to configure a multi-layer architecture. As a result, it also attains high scalability using parallel processing, specifically through the utilization of blockchain sharding schemes.",1153,,,en,Blockchain Technology Applications and Security,0.9784,IoT and Edge/Fog Computing,,Information Systems,Computer Science,Physical Sciences,Blockchain Technology Applications and Security; IoT and Edge/Fog Computing,Blockchain; Scalability; Computer science; Internet of Things; Distributed computing; Computer security; Database,Blockchain; Scalability; Computer science; Internet of Things; Distributed computing; Computer security,R.V. College of Engineering,,3,19,,True,True,high
W4403124327,GPS Based Efficient Real Time Vehicle Tracking and Monitoring System Using Two Factor Authentication and Internet of Things (IoT),2024,conference-paper,,10.1109/icoici62503.2024.10696765,https://doi.org/10.1109/icoici62503.2024.10696765,https://openalex.org/W4403124327,7,False,closed,OpenAlex,"Vehicle tracking systems have evolved significantly over the years, transitioning from simple passive tracking devices to real-time monitoring systems that utilize global positioning system (GPS) and global system for mobile communications (GSM). These advancements have enabled more precise tracking, better communication capabilities, and enhanced control over vehicle operations. Despite these improvements, there remains a persistent need for systems that are not only reliable but also incorporate multiple layers of security to prevent unauthorized access and use. This research paper introduces GPS and GSM based tracking system designed to significantly enhance vehicle safety and provide real time location monitoring. The system utilizes an Arduino Uno as the primary control unit, interfaced with a GSM module (SIM800L) for communication and a GPS module (NEO-6M) for precise tracking of the vehicle's location. Key components include a relay-controlled ignition switch and a key lock system to manage vehicle startup, a fingerprint sensor for advanced biometric authentication, and a buzzer for auditory alerts. The entire system operates on a 9$V$power supply, with voltage regulation managed by an LM2596 step-down converter. This integration of hardware components ensures robust vehicle tracking, remote control capabilities, and heightened security measures, thereby offering an effective solution for personal vehicle safety and efficient fleet management. In an average, for every 10 iterations we observed that 9 iterations are where successful, which shows that the efficiency was 90 % as there was delay in sending and receiving messages.",1660,,,en,IoT and GPS-based Vehicle Safety Systems,0.9853,IoT-based Smart Home Systems,,Mechanical Engineering,Engineering,Physical Sciences,IoT and GPS-based Vehicle Safety Systems; IoT-based Smart Home Systems,Internet of Things; Global Positioning System; Computer science; Authentication (law); Real-time computing; Tracking (education); Embedded system; Computer network; Computer security; Telecommunications,Internet of Things; Global Positioning System; Computer science; Authentication (law); Real-time computing; Tracking (education); Embedded system; Computer network; Computer security,,,6,15,,False,True,medium
W4402511208,Senspy: An Integrated Network Monitoring and Anomaly Detection System Using Machine Learning,2024,conference-paper,,10.1109/space63117.2024.10668320,http://dx.doi.org/10.1109/space63117.2024.10668320,https://openalex.org/W4402511208,1,False,closed,OpenAlex,"In the evolving cybersecurity landscape, the surge in cyber threats necessitates innovative defence mechanisms. Proposed work explores the integration of ML methods into Intrusion Detection System (IDS) Senspy tool. Senspy, an adaptive IDS software incorporates ML techniques like k-Nearest Neighbors (KNN), Random Forest and Logistic Regression, to enhance its detection capabilities of cyber threats. It's beneficial for recognizing outliers or unusual patterns in network traffic. By employing ML techniques, Senspy excels in detecting and identifying various cyber-attacks, surpassing traditional IDS capabilities. The system demonstrates robust performance, particularly with Random Forest algorithm achieving over accuracy and an F1 score of 99.6%.",754,,,en,Network Security and Intrusion Detection,0.9913,Anomaly Detection Techniques and Applications,,Computer Networks and Communications,Computer Science,Physical Sciences,Network Security and Intrusion Detection; Anomaly Detection Techniques and Applications,Anomaly detection; Computer science; Anomaly (physics); Artificial intelligence,Anomaly detection; Computer science; Anomaly (physics); Artificial intelligence,R.V. College of Engineering,,7,10,,True,True,high
W4403124725,Smart Health Monitoring and Anomaly Detection Using Internet of Things (IoT) and Artificial Intelligence (AI),2024,conference-paper,,10.1109/icoici62503.2024.10696283,https://doi.org/10.1109/icoici62503.2024.10696283,https://openalex.org/W4403124725,22,False,closed,OpenAlex,"Smart health monitoring systems, powered by AI and IoT, are transforming healthcare by enabling continuous, real-time patient monitoring. In India, where lapses in health monitoring contribute to 20% of premature deaths, our innovative solution addresses this urgent need. Designed specifically for elderly care, the system integrates advanced technology for health monitoring and medication management. It continuously tracks vital signs like heart rate, ECG, and temperature, sending immediate alerts to caregivers and medical professionals upon detecting abnormalities. This proactive approach not only enhances patient care and response times but also supports preventative care, ensuring timely interventions. With its comprehensive monitoring and user-friendly interface, the system is crucial for improving elderly healthcare.",833,,,en,Artificial Intelligence in Healthcare,0.4035,Smart Systems and Machine Learning,,Health Information Management,Health Professions,Health Sciences,Artificial Intelligence in Healthcare; Smart Systems and Machine Learning,Internet of Things; Anomaly detection; Computer science; Artificial intelligence; Computer security,Internet of Things; Anomaly detection; Computer science; Artificial intelligence; Computer security,,,5,13,,False,True,medium
W4389372254,Deep Learning Algorithms for Early Alzheimer's Diagnosis: From Data to Prognosis,2023,conference-paper,,10.1109/icssas57918.2023.10331657,http://dx.doi.org/10.1109/icssas57918.2023.10331657,https://openalex.org/W4389372254,0,False,closed,OpenAlex,"Alzheimer's disease (AD) is a neurological condition that worsens over time and affects millions of older people worldwide. An early diagnosis and correct classification of AD are essential for improving patient condition, enabling prompt intervention, and allocating healthcare resources. Healthcare professionals can use the system's predictions and classifications to make judgements about treatment regimens, patient counselling, and resource allocation. Additionally, by offering insightful information on the course of disease, potential therapeutic targets, and creation of fresh remedies, the system advances research into AD. To build reliable models for the precise diagnosis and classification of the disease, deep learning techniques were used to offer a cutting-edge AD prediction and classification system. To train and optimize deep neural networks, the system uses an AD dataset that consists of Magnetic resonance imaging(MRI) images. The dataset consists of 4 classes, Mild Demented, Moderate Demented, Non-Demented and Very Mild Demented. The proposed approach seeks to improve the precision, sensitivity, and specificity of AD prediction and classification by utilizing the power of deep learning. To identify complex patterns and correlations in the data, different deep learning architectures such as ResNet, MobileNet, and Xception are considered. ResNet exhibits the highest predictive accuracy among the three models, achieving an impressive 93%, followed closely by MobileNet at 91%, while Xception achieves an accuracy of 88%. The system's predictive models and classification algorithms can distinguish between various disease phases of the disease.",1677,,,en,Brain Tumor Detection and Classification,0.9949,Dementia and Cognitive Impairment Research,Machine Learning in Healthcare,Neurology,Neuroscience,Life Sciences,Brain Tumor Detection and Classification; Dementia and Cognitive Impairment Research; Machine Learning in Healthcare,Artificial intelligence; Computer science; Residual neural network; Deep learning; Machine learning; Disease; Artificial neural network; Health care; Enhanced Data Rates for GSM Evolution; Resource (disambiguation); Healthcare system; Convolutional neural network; Contextual image classification; Statistical classification; Medicine; Image (mathematics),Artificial intelligence; Computer science; Residual neural network; Deep learning; Machine learning; Disease; Artificial neural network; Health care; Enhanced Data Rates for GSM Evolution; Resource (disambiguation); Healthcare system; Convolutional neural network; Contextual image classification; Statistical classification,R.V. College of Engineering,,6,23,,True,True,high
W4382769995,Mitigation and Detection of DDOS attacks using Software Defined Network (SDN) and Machine Learning,2023,article,International Journal for Research in Applied Science and Engineering Technology,10.22214/ijraset.2023.47344,http://doi.org/10.22214/ijraset.2023.47344,https://openalex.org/W4382769995,0,True,diamond,OpenAlex,"Abstract: An emerging networking paradigm called Software Defined Networking (SDN) enables network control to be restricted to a logically centralized controller. This makes network visibility and management simpler on a global scale. SDN is a suitable network model for extensive deployment in real-world settings since it can be programmed using high-level programming languages. SDN is still vulnerable to a number of network attacks, the most notable of which being the DDoS (distributed denial of service) attack. A DDoS attack has the potential to render the controller, the brain of SDN, inoperable. SDN security is still in its infancy, and both business and academics have done a lot of research in this area. The SDN DDoS mitigation strategy utilizing machine learning (ML) is the main topic of this study. This work also surveys network traffic aspects for DDoS detection",882,International Journal for Research in Applied Science and Engineering Technology,journal,en,Network Security and Intrusion Detection,0.9986,Software-Defined Networks and 5G,Advanced Malware Detection Techniques,Computer Networks and Communications,Computer Science,Physical Sciences,Network Security and Intrusion Detection; Software-Defined Networks and 5G; Advanced Malware Detection Techniques,Denial-of-service attack; Software-defined networking; Computer science; Network management; Software deployment; Computer network; Controller (irrigation); Computer security; Network security; Application layer DDoS attack; Trinoo; Operating system; The Internet,Denial-of-service attack; Software-defined networking; Computer science; Network management; Software deployment; Computer network; Controller (irrigation); Computer security; Network security; Application layer DDoS attack; Trinoo,"Department of Physics, Mathematics and Informatics",BY,3,10,http://dx.doi.org/10.22214/ijraset.2023.47344,False,True,medium
W4383876054,Petri Nets-Based Optimization of Multi-Level Marketing Schemes for the Green Economy,2023,book-chapter,"Advances in marketing, customer relationship management, and e-services book series",10.4018/978-1-6684-8140-0.ch010,https://doi.org/10.4018/978-1-6684-8140-0.ch010,https://openalex.org/W4383876054,0,False,closed,OpenAlex,"Green economy and its relevant concepts have gained popularity during the last decade to promote and support equitable and sustainable development. Developing countries have deliberately undertaken initiatives that float responsible development, valuing the magnanimity and foresight of these principles despite their barriers to the progress of a developing nation. The repeating idea of placing a tax on the production, use, and emission of carbon by industry has been recognized and implemented by governments worldwide. The principle addressed in this chapter advocates for the implementation of carbon tax measures in a selective and authoritative manner, which historically led to non-conformity, restlessness, and inefficiency. The objective of this article is to utilize Petri Nets to legalize the behavior of a multi-level marketing system to assure an effective carbon tax hierarchy to promote a green economy, to optimize it, and to model it.",953,"Advances in marketing, customer relationship management, and e-services book series",book series,en,Business Process Modeling and Analysis,0.9838,Innovation and Knowledge Management,Corporate Governance and Management,Management Information Systems,"Business, Management and Accounting",Social Sciences,Business Process Modeling and Analysis; Innovation and Knowledge Management; Corporate Governance and Management,Inefficiency; Popularity; Futures studies; Sustainable development; Low-carbon economy; Big push model; Conformity; Developing country; Carbon tax; Economic system; Economics; Business; Industrial organization; Economy; Engineering; Computer science; Political science; Market economy; Economic growth; Greenhouse gas; Artificial intelligence,Inefficiency; Popularity; Futures studies; Sustainable development; Low-carbon economy; Big push model; Conformity; Developing country; Carbon tax; Economic system; Economics; Business; Industrial organization; Economy; Engineering,PES University; R.V. College of Engineering,IN,4,1,,True,True,high
