faculty_id,topic,n_papers,first_year,latest_year,citations,field,domain,is_active_topic
RVCE-CSE-001,Advanced Battery Technologies Research,1,2023,2023,5,Engineering,Physical Sciences,True
RVCE-CSE-001,Advanced Data Storage Technologies,1,2023,2023,1,Computer Science,Physical Sciences,True
RVCE-CSE-001,Advanced Database Systems and Queries,1,2023,2023,1,Computer Science,Physical Sciences,True
RVCE-CSE-001,Context-Aware Activity Recognition Systems,1,2022,2022,0,Computer Science,Physical Sciences,False
RVCE-CSE-001,Data Management and Algorithms,1,2023,2023,1,Computer Science,Physical Sciences,True
RVCE-CSE-001,Electric Vehicles and Infrastructure,1,2023,2023,5,Engineering,Physical Sciences,True
RVCE-CSE-001,Energy Harvesting in Wireless Networks,1,2023,2023,5,Engineering,Physical Sciences,True
RVCE-CSE-001,IoT and Edge/Fog Computing,1,2022,2022,0,Computer Science,Physical Sciences,False
RVCE-CSE-001,IoT-based Smart Home Systems,1,2022,2022,0,Computer Science,Physical Sciences,False
RVCE-CSE-002,Network Security and Intrusion Detection,4,2023,2024,15,Computer Science,Physical Sciences,True
RVCE-CSE-002,IoT and Edge/Fog Computing,3,2020,2024,23,Computer Science,Physical Sciences,True
RVCE-CSE-002,Advanced Malware Detection Techniques,2,2023,2024,5,Computer Science,Physical Sciences,True
RVCE-CSE-002,Anomaly Detection Techniques and Applications,2,2023,2024,10,Computer Science,Physical Sciences,True
RVCE-CSE-002,Blockchain Technology Applications and Security,2,2024,2024,0,Computer Science,Physical Sciences,True
RVCE-CSE-002,IoT-based Smart Home Systems,2,2019,2024,7,Engineering,Physical Sciences,True
RVCE-CSE-002,Artificial Intelligence in Healthcare,1,2024,2024,22,Health Professions,Health Sciences,True
RVCE-CSE-002,Botanical Research and Applications,1,2017,2017,0,Medicine,Health Sciences,False
RVCE-CSE-002,Brain Tumor Detection and Classification,1,2023,2023,0,Neuroscience,Life Sciences,True
RVCE-CSE-002,Business Process Modeling and Analysis,1,2023,2023,0,"Business, Management and Accounting",Social Sciences,True
