publication_id,title,publication_year,venue,author_institutions
W44033174,A Dynamic Authentication Scheme for Mobile Transactions,2009,International journal of network security,
W2080132759,Random security scheme selection for mobile transactions,2009,Security and Communication Networks,Indian Institute of Science Bangalore
W2109406379,An Authentication Scheme for Ubiquitous Commerce: A Cognitive Agents Based Approach,2008,,Indian Institute of Science Bangalore
W1997666988,An intelligent proactive security system for cyber centres using Cognitive Agents,2008,International Journal of Information and Computer Security,Imperial College London; Indian Institute of Science Bangalore
W1978475559,Cognitive agents based authentication & privacy scheme for mobile transactions (CABAPS),2008,Computer Communications,Indian Institute of Science Bangalore
W2601000203,A method of fraud & intrusion detection for e-payment systems in mobile,2007,,
W2099950721,A Method of Fraud & Intrusion Detection for E-payment Systems in Mobile e-Commerce,2007,"IEEE International Performance, Computing, and Communications Conference",Indian Institute of Science Bangalore
W2001775285,An Authentication Scheme for Personalized Mobile Multimedia Services: A Cognitive Agents Based Approach,2007,,Indian Institute of Science Bangalore
W2156581201,Transaction Based Authentication Scheme for Mobile Communication: A Cognitive Agent Based Approach,2007,,Indian Institute of Science Bangalore
W4231943115,Catabolism of isophthalic acid by a soil bacterium,1982,FEMS Microbiology Letters,Indian Institute of Science Bangalore
W2222819603,"Pedogenesis Seri-seri Tanah di Daerah Cibinong, Citeureup dan Kedunghalang, Kabupaten Bogor",1987,,
W2737300331,Internet Shared Resources Framework,2009,CiiT international journal of networking and communication engineering,
W2041081282,Adaptive conjugate gradient algorithm for perceptron training,2005,Neurocomputing,Indian Institute of Technology Bombay
W1483599532,Performance Studies on KBANN,2005,,Indian Institute of Technology Bombay; Sify Technologies (India)
W1495337566,Generalised brain-state-in-a-box based associative memory for correcting words and images,2004,,Indian Institute of Technology Bombay
W1501248018,Learning Distinguishable Linear Grammars from Positive Data,2004,Lecture notes in computer science,Indian Institute of Technology Bombay; Universitat Politècnica de València; Voluntary Health Association Of India
W65374645,Inference of a subclass of context free grammars using positive samples,2003,,Indian Institute of Technology Bombay
W1569007738,Compiling relative set abstractions,2002,,Indian Institute of Technology Bombay
W1592678998,Regular Grammatical Inference: A Genetic Algorithm Approach,2002,Lecture notes in computer science,Indian Institute of Technology Bombay
W2540311278,Solving equations and inequations in term algebras with selectors,2002,,Indian Institute of Technology Bombay
W1590367335,Learning a subclass of linear languages from positive structural information,1998,Lecture notes in computer science,Indian Institute of Technology Indore; Universitat Politècnica de València
W1986265284,Verification of accuracy of rules in a rule based system,1998,Data & Knowledge Engineering,Indian Institute of Technology Bombay; Tata Consultancy Services (India)
W2093288954,Measuring the Accuracy of a Knowledge Base in Conventional and DAI Frameworks,1996,IETE Journal of Research,Indian Institute of Technology Bombay; Tata Chemicals (India)
W2214024182,Learning a class of regular languages in the probably approximately correct learnability framework of Valiant,1993,,Indian Institute of Technology Bombay
W1488589107,Learning classes of Regular and Linear Languages in Valiant's learnability framework,1993,Lecture notes in computer science,Indian Institute of Technology Bombay; Indian Institute of Technology Indore
W2080558225,Inference of even linear grammars and its application to picture description languages,1988,Pattern Recognition,Indian Institute of Technology Bombay
W2694091155,On Line Steady State Security Assessment and Enhancement of an Energy System Using Pattern Recognition Techniques,1988,IFAC Proceedings Volumes,Indian Institute of Technology Bombay
W2072548741,Inference of regular grammars via skeletons,1987,IEEE Transactions on Systems Man and Cybernetics,Indian Institute of Technology Bombay
W1980340380,An Algorithm for the Solution of Linear Inequalities,1974,IEEE Transactions on Computers,Indian Institute of Science Bangalore
W1040293692,Solution of linear inequalities: A conjugate gradient algorithm for linear constraints,1974,IEEE Transactions on Automatic Control,Indian Institute of Science Bangalore
W2149700961,Survey on Mining in Semi-Structured Data,2007,,
W2912902396,"Agricultural systems of Papua New Guinea: Working Paper No.6. Milne Bay Province: Text summaries, maps, code lists and village identification",2002,,
W2067757920,"Milne Bay Province: Text summaries, maps, code lists and village identification",2002,ANU Open Research (Australian National University),
W2132537084,Linkage learning genetic algorithm for the design of withdrawal weighted SAW filters,2003,,Indian Institute of Technology Delhi
