faculty_id,faculty_name,candidates,kept,strong
RVCE-CSE-001,Anitha Sandeep,100,3,3
RVCE-CSE-003,Azra Nasreen,100,5,5
RVCE-CSE-005,Badarinath K B,34,4,4
RVCE-CSE-006,Chaitra B H,100,0,0
RVCE-CSE-007,Chethana Murthy,100,2,2
RVCE-CSE-009,Ganashree K C,14,2,2
RVCE-CSE-015,Manjunath A E,100,0,0
RVCE-CSE-021,Poonam Ghuli,100,1,1
RVCE-CSE-028,Revathi S A,100,2,2
RVCE-CSE-029,Shanta Rangaswamy,100,7,7
RVCE-CSE-032,Soumya A,100,2,2
RVCE-CSE-033,Sowmyarani C N,20,20,20
RVCE-CSE-035,Vasanth M L,100,0,0
RVCE-CSE-037,Vinay Hegde,100,7,7
